compound,hydrogen_production_rate,hydrogen_production_rate_uom,bandgap_energy,bandgap_energy_uom,incident_light_cut_off,incident_light_cut_off_uom,particle_size,particle_size_uom,radiation_source_intensity,radiation_source_intensity_uom,specific_surface_area,specific_surface_area_uom,catalyst_amount,catalyst_amount_uom,co_catalyst,co_catalyst_type,reaction_type,reaction_solution,reaction_solution_concentration,carbon_source,sacrificial_agent,sacrificial_agent_source,preparation_method,calcination_temperature,calcination_temperature_uom,calcination_time,calcination_time_uom,doi_reference,Sr,Ti,O,La,Ni,Cu,K,Na,Ta,N,Ba,Fe,Nb,Bi,Br,Cd,S,H,Pb,Sn,Ag,Ca,Cr,Mn,Au,Pd,Pt,B,Mo,C,Pr,Y,Eu,Mg,Tb,In,Ru,Co,Li,Nd,Sm,Gd,Cs,W,Zr,Hf,Ce,V,P,Rh,Yb,Cl,Zn
SrTiO3,3400.0,𝜇mol.g-1.h-1,2.97,eV,360,nm,92.0,nm,300.0,W,176.0,m2.g-1,0.02,g,Pt,H2PtCl6,photoreform,Water / methanol,(8:2 v/v),CH3OH,True,CH3OH,Polymer-assisted sol–gel method (followed by solvothermal treatment) ,400.0,°C,3.0,h,https://doi.org/10.1016/j.apcatb.2018.05.036,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaNi0.5Cu0.5O3,1166.0,𝜇mol.g-1.h-1,2.47,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7:1 v/v),HCHO,True,HCHO,Citric Acid complexing method,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.140,0.0,0.0,3.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaKNaTaO5,110.0,𝜇mol.g-1.h-1,2.0,eV,420,nm,100.0,nm,300.0,W,,m2.g-1,0.3,g,Rh,RhCl3·3H2O,photoreform,Water / methanol,(8:2 v/v),CH3OH,True,CH3OH,Nitridation,600.0,°C,3.0,h,https://doi.org/10.1002/anie.201906081,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaTaON2,110.0,𝜇mol.g-1.h-1,2.0,eV,420,nm,100.0,nm,300.0,W,,m2.g-1,0.5,g,Rh,RhCl3·3H2O,photoreform,Water / methanol,(8:2 v/v),CH3OH,True,CH3OH,Nitridation,600.0,°C,3.0,h,https://doi.org/10.1002/anie.201906081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba2FeNbO6,143.0,𝜇mol.g-1.h-1,2.29,eV,420,nm,100.0,nm,300.0,W,5.57,m2.g-1,0.05,g,Pt,Pt nanoparticles,photoreform,Water / methanol,(75:25 v/v),CH3OH,False,-,salt-assisted solid-state reaction,800.0,°C,5.0,h,https://doi.org/10.1002/aenm.201600932,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bi4NbO8Br,83.3,𝜇mol.g-1.h-1,2.44,eV,420,nm,1000.0,nm,300.0,W,,m2.g-1,0.3,g,Pt,H2PtCl6,photoreform,Water / glycerol,(8:2 v/v),C3H8O3,True,C3H803,solid-state reaction,800.0,°C,24.0,h,https://doi.org/10.1039/C8CY00959G,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K2Nb2O6,0.0,𝜇mol.g-1.h-1,3.98,eV,400,nm,25.0,nm,300.0,W,47.9,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,,°C,,h,https://doi.org/10.1002/sstr.202200105,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K2Nb2O6-xNx,20.4,𝜇mol.g-1.h-1,2.86,eV,400,nm,25.0,nm,300.0,W,80.5,m2.g-1,0.03,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal + solid-state reaction,400.0,°C,6.0,h,https://doi.org/10.1002/sstr.202200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K2Nb2O6-xNx,9.27,𝜇mol.g-1.h-1,3.05,eV,400,nm,25.0,nm,300.0,W,79.5,m2.g-1,0.04,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal + solid-state reaction,400.0,°C,4.0,h,https://doi.org/10.1002/sstr.202200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K2Nb2O6-xNx,10.74,𝜇mol.g-1.h-1,2.9,eV,400,nm,25.0,nm,300.0,W,80.1,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal + solid-state reaction,400.0,°C,8.0,h,https://doi.org/10.1002/sstr.202200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
