Compound;Bandgap (eV);H2 production rate (umol.g-1.h-1) ;Bandgap (eV);Incident light cut-off (nm);Particle size (nm);Radiation (W);Specific Surface Area m2.g-1;Catalyst amount (g);Co-catalyst;Co-catalyst type;Reaction;Reaction solution;Reaction solution concentration;Carbon source;Sacrificial agent;Sacrificial agent source;Preparation method;Calcination temperature (°C);Calcination time (h);Reference
SrTiO3;Bandgap (eV);3400;2.97;360;92;300;176;0.02;Pt;H2PtCl6;Photoreform;Water / methanol;(8:2 v/v);CH3OH;TRUE;CH3OH;Polymer-assisted sol–gel method (followed by solvothermal treatment) ;400;3;https://doi.org/10.1016/j.apcatb.2018.05.036
LaNi0.5Cu0.5O3;Bandgap (eV);1166;2.47;400;-;125;-;0.1;FALSE;-;Photoreform;Water / formaldehyde;(7:1 v/v);HCHO;TRUE;HCHO;Citric Acid complexing method;800;5;https://doi.org/10.1016/j.ijhydene.2010.08.140
LaKNaTaO5;Bandgap (eV);110;2;420;100;300;-;0.3;Rh;RhCl3·3H2O;Photoreform;Water / methanol;(8:2 v/v);CH3OH;TRUE;CH3OH;Nitridation;600;3;https://doi.org/10.1002/anie.201906081
LaTaON2;Bandgap (eV);110;2;420;100;300;-;0.5;Rh;RhCl3·3H2O;Photoreform;Water / methanol;(8:2 v/v);CH3OH;TRUE;CH3OH;Nitridation;600;3;https://doi.org/10.1002/anie.201906081
K2LaTa2O6N;Bandgap (eV);320;2.5;400;250;300;-;0.05;Pt;PtOx/H-Cs-WO3 ;Photocatalysis;Water;-;-;TRUE;NaI solution;ion-exchange reaction;400;48;https://doi.org/10.1002/anie.202002534
Ba2FeNbO6;Bandgap (eV);143;2.29;420;100;300;5.57;0.05;Pt;Pt nanoparticles;Photoreform;Water / methanol;(75:25 v/v);CH3OH;FALSE;-;salt-assisted solid-state reaction;800;5;https://doi.org/10.1002/aenm.201600932
LaTiO2N;Bandgap (eV);3680;2.1;420;1000;300;16;0.2;Co;Co(NO3)2·6H2O;Photocatalysis;Water;-;-;TRUE;AgNO3;thermal ammonalysis process;950;15;https://doi.org/10.1021/ja301726c
RbLaTa2O6.77N0.15;Bandgap (eV);152;2.07;420;500;500;-;0.05;Pt;H2PtCl6 ;Photocatalysis;Water;-;-;TRUE;Na2SO3;Conventional solid-state reaction;800;5;https://doi.org/10.1021/acsnano.7b06131
LiCuTa3O9;Bandgap (eV);0.7;2.48;420;300;300;-;0.2;Rh;RhCl3·3H2O;Photocatalysis;Water;-;-;TRUE;Na2SO3 and Na2S;solid-state reaction;1000;10;10.1002/aenm.201801660
LaMg1/3Ta2/3O2N;Bandgap (eV);5;1.9;300;100;300;-;0.2;Rh and  Cr;RhCl3·3H2O and Cr(NO3)3·9H2O;Photocatalysis;Water;-;-;FALSE;-;Citric Acid complexing method;800;5;https://doi.org/10.1002/anie.201410961
LaMg1/3Ta2/3O2N;Bandgap (eV);5;2.0;300;100;300;-;0.2;Rh and  Cr;RhCl3·3H2O and Cr(NO3)3·9H2O;Photocatalysis;Water;-;-;FALSE;-;Citric Acid complexing method;800;5;https://doi.org/10.1002/anie.201410961
LaMg1/3Ta2/3O2N;Bandgap (eV);5;2.1;300;100;300;-;0.2;Rh and  Cr;RhCl3·3H2O and Cr(NO3)3·9H2O;Photocatalysis;Water;-;-;FALSE;-;Citric Acid complexing method;800;5;https://doi.org/10.1002/anie.201410961
Bi4NbO8Br;Bandgap (eV);83.3;2.44;420;1000;300;-;0.3;Pt;H2PtCl6;Photoreform;Water / glycerol;(8:2 v/v);C3H8O3;TRUE;C3H803;solid-state reaction;800;24;https://doi.org/10.1039/C8CY00959G
Cs2AgBiBr6;Bandgap (eV);48.9;1.65;420;20000;300;-;0.2;Graphene;CxOy;Photocatalysis;HBr / H3PO2;(5 : 1 v/v);-;FALSE;-;Acidic-solution synthesis;85;12;https://doi.org/10.1016/j.apcatb.2019.118399
(CH3)2NH2SnI3;Bandgap (eV);3.2;1.3;420;-;300;-;0.2;FALSE;-;Photocatalysis;Water;-;-;FALSE;-;Single-crystal growth;200;8;https://doi.org/10.1002/anie.201810481
CH3NH3PbI3;Bandgap (eV);785.9;1.51;420;180;150;-;0.0025;Co;CoP;Photocatalysis;HI;-;-;FALSE;-;Antisolvent + in situ photosynthesis;50;3;https://doi.org/10.1002/adfm.202001478
CH3NH3PbI3-xlx;Bandgap (eV);2604.8;2;420;50000;300;-;0.25;Pt;H2PtCl6·6H2O;Photocatalysis;HI;-;-;FALSE;-;Light-assisted halide exchange;15;1.5;https://doi.org/10.1021/acscatal.8b02374
CsPbBr3-xIx;Bandgap (eV);1120;2.17;420;10000;300;-;0.20;Pt;H2PtCl6·6H2O;Photocatalysis;Water / HBr;-;-;FALSE;-;Light-assisted halide exchange;15;1;https://doi.org/10.1016/j.apcatb.2019.01.019
KCuTa3O9;Bandgap (eV);56.0;2.73;420;1000;300;-;0.05;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;solid-state reaction;1100;24;https://doi.org/10.1016/j.jallcom.2023.170635
KCuFe0.1Ta3O9;Bandgap (eV);77.6;2.63;420;1000;300;-;0.05;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;solid-state reaction;1100;24;https://doi.org/10.1016/j.jallcom.2023.170635
KCuFe0.2Ta3O9;Bandgap (eV);110.2;2.51;420;1000;300;-;0.05;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;solid-state reaction;1100;24;https://doi.org/10.1016/j.jallcom.2023.170635
KCuFe0.3Ta3O9;Bandgap (eV);65.6;2.41;420;1000;300;-;0.05;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;solid-state reaction;1100;24;https://doi.org/10.1016/j.jallcom.2023.170635
K2Nb2O6;Bandgap (eV);0;3.98;400;25;300;47.9;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;-;-;https://doi.org/10.1002/sstr.202200105
K2Nb2O6-xNx;Bandgap (eV);20.4;2.86;400;25;300;80.5;0.03;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal + solid-state reaction;400;6;https://doi.org/10.1002/sstr.202200105
K2Nb2O6-xNx;Bandgap (eV);9.27;3.05;400;25;300;79.5;0.04;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal + solid-state reaction;400;4;https://doi.org/10.1002/sstr.202200105
K2Nb2O6-xNx;Bandgap (eV);10.74;2.90;400;25;300;80.1;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal + solid-state reaction;400;8;https://doi.org/10.1002/sstr.202200105
AgTaO3;Bandgap (eV);167.38;3.44;254;72.6;-;1.9;0.2;CdS;CdS;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;900;24;https://doi.org/10.1016/j.jphotochem.2018.03.021
AgNbO3;Bandgap (eV);54.17;2.78;254;156.1;-;2.3;0.2;CdS;CdS;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;850;24;https://doi.org/10.1016/j.jphotochem.2018.03.021
AgVO3;Bandgap (eV);1.29;1.97;254;87.3;-;1.1;0.2;CdS;CdS;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;300;24;https://doi.org/10.1016/j.jphotochem.2018.03.021
SrTiO3;Bandgap (eV);0;3.31;420;100;300;4.27;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;800;5;https://doi.org/10.1002/aenm.201600932
SrTiO3-Ba2FeNbO6;Bandgap (eV);80;3.08;420;100;300;4.96;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;800;5;https://doi.org/10.1002/aenm.201600932
SrTiO3-Ba2FeNbO6;Bandgap (eV);143;2.92;420;100;300;5.09;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;800;5;https://doi.org/10.1002/aenm.201600932
SrTiO3-Ba2FeNbO6;Bandgap (eV);95;2.76;420;100;300;5.57;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;800;5;https://doi.org/10.1002/aenm.201600932
Ba2FeNbO6;Bandgap (eV);0;2.29;420;100;300;5.54;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;800;5;https://doi.org/10.1002/aenm.201600932
CdSLa2Ti2O7;Bandgap (eV);51.31;2.28;400;600;500;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal + chemical bath deposition;-;-;http://dx.doi.org/10.1002/cplu.201600351 
La2Ti2O7;Bandgap (eV);10.26;3.94;400;600;500;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal + chemical bath deposition;-;-;http://dx.doi.org/10.1002/cplu.201600351 
La2NiO4TiO2;Bandgap (eV);2144.2;3.10;400;50;300;18.61;0.01;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;620;5;http://dx.doi.org/10.1117/1.JPE.11.034001
La2NiO4;Bandgap (eV);5.8;2.2;400;50;300;6.63;0.01;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1000;6;http://dx.doi.org/10.1117/1.JPE.11.034001
