hydrogen_production_rate,bandgap_energy,incident_light_cut_off,particle_size,radiation_source_intensity,specific_surface_area,catalyst_amount,calcination_temperature,calcination_time,Sr,Ti,O,La,Ni,Cu,K,Na,Ta,N,Ba,Fe,Nb,Bi,Br,Cd,S,H,Pb,Sn,Ag,Ca,Cr,Mn,Au,Pd,Pt,B,Mo,C,Pr,Y,Eu,Mg,Tb,In,Ru,Co,Li,Nd,Sm,Gd,Cs,W,Zr,Hf,Ce,V,P,Rh,Yb,Cl,Zn,atomic_number_mean,atomic_number_std,atomic_number_range,atomic_radius_mean,atomic_radius_std,atomic_radius_range,atomic_radius_rahm_mean,atomic_radius_rahm_std,atomic_radius_rahm_range,atomic_volume_mean,atomic_volume_std,atomic_volume_range,atomic_weight_mean,atomic_weight_std,atomic_weight_range,boiling_point_mean,boiling_point_std,boiling_point_range,bulk_modulus_mean,bulk_modulus_std,bulk_modulus_range,c6_gb_mean,c6_gb_std,c6_gb_range,covalent_radius_cordero_mean,covalent_radius_cordero_std,covalent_radius_cordero_range,covalent_radius_pyykko_mean,covalent_radius_pyykko_std,covalent_radius_pyykko_range,covalent_radius_pyykko_double_mean,covalent_radius_pyykko_double_std,covalent_radius_pyykko_double_range,covalent_radius_pyykko_triple_mean,covalent_radius_pyykko_triple_std,covalent_radius_pyykko_triple_range,covalent_radius_slater_mean,covalent_radius_slater_std,covalent_radius_slater_range,density_mean,density_std,density_range,dipole_polarizability_mean,dipole_polarizability_std,dipole_polarizability_range,electron_negativity_mean,electron_negativity_std,electron_negativity_range,electron_affinity_mean,electron_affinity_std,electron_affinity_range,en_allen_mean,en_allen_std,en_allen_range,en_ghosh_mean,en_ghosh_std,en_ghosh_range,en_pauling_mean,en_pauling_std,en_pauling_range,first_ion_en_mean,first_ion_en_std,first_ion_en_range,fusion_enthalpy_mean,fusion_enthalpy_std,fusion_enthalpy_range,gs_bandgap_mean,gs_bandgap_std,gs_bandgap_range,gs_energy_mean,gs_energy_std,gs_energy_range,gs_est_bcc_latcnt_mean,gs_est_bcc_latcnt_std,gs_est_bcc_latcnt_range,gs_est_fcc_latcnt_mean,gs_est_fcc_latcnt_std,gs_est_fcc_latcnt_range,gs_mag_moment_mean,gs_mag_moment_std,gs_mag_moment_range,gs_volume_per_mean,gs_volume_per_std,gs_volume_per_range,hhi_p_mean,hhi_p_std,hhi_p_range,hhi_r_mean,hhi_r_std,hhi_r_range,heat_capacity_mass_mean,heat_capacity_mass_std,heat_capacity_mass_range,heat_capacity_molar_mean,heat_capacity_molar_std,heat_capacity_molar_range,icsd_volume_mean,icsd_volume_std,icsd_volume_range,evaporation_heat_mean,evaporation_heat_std,evaporation_heat_range,heat_of_formation_mean,heat_of_formation_std,heat_of_formation_range,lattice_constant_mean,lattice_constant_std,lattice_constant_range,mendeleev_number_mean,mendeleev_number_std,mendeleev_number_range,melting_point_mean,melting_point_std,melting_point_range,molar_volume_mean,molar_volume_std,molar_volume_range,num_unfilled_mean,num_unfilled_std,num_unfilled_range,num_valance_mean,num_valance_std,num_valance_range,num_d_unfilled_mean,num_d_unfilled_std,num_d_unfilled_range,num_d_valence_mean,num_d_valence_std,num_d_valence_range,num_f_unfilled_mean,num_f_unfilled_std,num_f_unfilled_range,num_f_valence_mean,num_f_valence_std,num_f_valence_range,num_p_unfilled_mean,num_p_unfilled_std,num_p_unfilled_range,num_p_valence_mean,num_p_valence_std,num_p_valence_range,num_s_unfilled_mean,num_s_unfilled_std,num_s_unfilled_range,num_s_valence_mean,num_s_valence_std,num_s_valence_range,period_mean,period_std,period_range,specific_heat_mean,specific_heat_std,specific_heat_range,thermal_conductivity_mean,thermal_conductivity_std,thermal_conductivity_range,vdw_radius_mean,vdw_radius_std,vdw_radius_range,vdw_radius_alvarez_mean,vdw_radius_alvarez_std,vdw_radius_alvarez_range,vdw_radius_mm3_mean,vdw_radius_mm3_std,vdw_radius_mm3_range,vdw_radius_uff_mean,vdw_radius_uff_std,vdw_radius_uff_range,sound_velocity_mean,sound_velocity_std,sound_velocity_range,Polarizability_mean,Polarizability_std,Polarizability_range
3400.0,2.97,360,92.0,300.0,176.0,0.02,400.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,11.906300852909776,30.0,160.12085218684496,27.44131694365968,68.7985796885917,209.8,48.026659263371634,108.0,17.26,8.324806304052967,23.1,36.6968,28.295379272241608,71.62100000000001,1097.514,1372.6592299125082,3469.81,82.15971934359035,13.99078328129213,37.51952583361509,896.0200000000001,1253.7525647431394,3213.3,110.6,55.73365231168688,129.0,102.0,50.215535444720686,122.0,89.0,41.182520563948,100.0,81.2,35.902089075707,86.0,104.0,57.1314274283428,140.0,2.1054000000000004,1.3311842246661427,3.391,63.21200000000001,74.52948903621976,180.76,2.5620000000000003,1.0913917720049018,2.49,0.9020681,0.6847581608799853,1.4131135,15.589,7.11120411744734,15.665,0.2311193799999999,0.0899774958109059,0.1860667999999999,2.5620000000000003,1.0913917720049018,2.49,10.675424,3.621740155381664,7.9232,4.448,5.597304351203355,13.93,0.0,0.0,0.0,-4.745683287,1.926638355259929,6.09241352,3.1762870428000003,0.8283531951513585,2.138060945,4.001870905600001,1.0436596274898062,2.693787991,4.5e-06,9e-06,2.25e-05,19.647,17.539264693823394,45.125,1360.0,1438.888459888396,3700.0,1220.0,986.7117106835208,2500.0,0.7168,0.2558799718618086,0.6120000000000001,27.9968,1.7778808059034783,4.318000000000001,25.166,15.457466286555505,38.72,122.66745471541316,157.998963297453,407.02090880764473,276.9374,103.43951443157492,309.0,5.904000000000001,1.505291998251502,3.88,73.8,35.204545161101,86.0,627.88,756.3194626611165,1878.2,19.332,7.753849108668545,23.3,2.8,2.712931993250108,8.0,4.8,1.6,4.0,1.6,3.2,8.0,0.4,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.9797958971132712,2.0,2.4,1.9595917942265424,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.2649110640673518,3.0,0.8123119821204743,0.3343075261185155,0.778186636867457,11.415948,14.542233499677277,34.97342,183.2,40.05695944526993,97.0,196.0,57.605555287663016,134.0,217.0,47.00638254535228,118.0,346.32,15.410048669618153,46.60000000000002,1919.3464103279616,1965.2313813302087,4186.732051639809,8.9212,10.760209707993615,26.798
1166.0,2.47,400,,125.0,,0.1,800.0,5.0,0.0,0.0,3.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,19.26369642617948,49.0,150.32085218684497,19.95882207106786,63.0,203.0,44.40495467850406,113.0,14.27,4.961259920625002,15.9,49.604434,47.9606899374876,122.90647,1384.614,1606.1964738673785,3639.81,83.26362451031336,43.58034540673539,152.0,821.72,1459.4307368285756,3713.3,106.6,55.67620676734362,141.0,96.0,45.93255925811233,117.0,83.6,34.16489426297117,82.0,81.7,36.53505166275258,86.0,102.0,54.8270006474912,135.0,3.7056,3.2523637004492603,7.811000000000001,54.904,79.36857907257757,204.76,2.665,0.982723257076986,2.34,1.2097681,0.3843290779419896,0.9911135,15.780049251048116,7.210419716773592,17.584753744759418,0.24521124,0.0728446157704356,0.1573681999999999,2.665,0.982723257076986,2.34,10.822828,3.487675082394574,8.04115,4.48,6.057861008639931,17.26,0.0,0.0,0.0,-4.7622823190000005,0.4288875676248989,1.8656697500000003,2.9725313201000003,0.6136962529224866,1.563562239,3.7451547815,0.773208827383176,1.969964978,0.05953947,0.1786184099999999,0.5953946999999999,14.9815,10.976570684872394,27.7925,2460.0,3536.156105151468,9000.0,1220.0,1016.6612021711068,2600.0,0.6727,0.3086263274576555,0.7230000000000001,28.0998,1.7110348798315012,4.937999999999999,20.167,8.93905593449331,26.56,158.06745471541316,176.3321201857978,386.4209088076447,312.4874,81.58038064289723,181.771,5.561000000000001,1.5554320943069166,3.31,81.1,26.990553903171385,68.0,579.9399999999999,657.6796913391807,1671.2,16.264000000000003,5.095537655635567,15.8,3.3,2.8653097563788803,8.0,6.3,2.4103941586387903,8.0,2.0,3.5496478698597698,9.0,2.0,3.5496478698597698,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.9797958971132712,2.0,2.4,1.9595917942265424,4.0,0.1,0.3,1.0,1.9,0.3,1.0,3.2,1.6,4.0,0.7697119821204741,0.3854075023869492,0.8821866368674569,51.715948,119.11070962075212,399.97342,179.1,36.302754716412366,91.0,197.4,60.97901278308792,148.0,209.6,37.88192180974984,96.0,343.73,20.130476894500045,68.80000000000001,1539.5,1630.990036756816,4652.5,8.0012,11.759112252206798,30.298
110.0,2.0,420,100.0,300.0,,0.3,600.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,23.41783640152085,65.0,165.77856683967127,29.863536842382704,88.7985796885917,206.22222222222223,42.23947016128603,113.0,19.155555555555555,10.09082213489192,34.4,51.3262688088889,59.31501459090368,164.94888,1342.4499999999998,1904.2059694849768,5607.81,68.65891158362349,55.14378378493444,196.9,1131.1666666666667,1525.276703494229,3893.3,119.55555555555556,61.14847342713582,141.0,110.22222222222224,54.4278886392665,133.0,100.33333333333331,51.30518708885313,136.0,85.58956788955416,37.33620562437565,86.0,115.55555555555556,64.69777793043438,160.0,3.375111111111111,4.95459856977882,15.798,86.38888888888889,103.13614351315174,285.36,2.3944444444444444,1.181572503169786,2.62,1.0163292777777777,0.5004681756973559,1.1391135,14.220582917248954,8.052713674632596,17.584753744759418,0.2346668444444444,0.0870418208937789,0.2113609999999999,2.3944444444444444,1.181572503169786,2.62,10.077384366666667,4.036261041598101,9.2773867,5.422777777777778,11.173383331011625,36.35,0.0,0.0,0.0,-4.768965149555555,2.905498101977368,10.753859827,3.312005282666667,0.8974973762582805,2.6373070869999995,4.172865172777778,1.1307758365703122,3.322798714,0.0,0.0,0.0,22.543611111111108,20.358161534919454,64.00166666999999,1900.0,2756.809750418044,9000.0,2011.111111111111,2347.312621533373,6700.0,0.7677777777777777,0.3410659036275598,1.088,28.576666666666668,1.3693518336952142,4.240000000000002,28.584444444444443,18.75499110525048,58.27,148.68060621797517,246.7608098102284,755.67,295.07166666666666,195.4289089214342,693.0,5.63,1.4234855500183734,3.52,67.88888888888889,38.7855770571268,91.0,604.9733333333334,1004.6626385232232,3214.2,21.084444444444443,9.433218033584074,35.09,3.111111111111111,2.6851213274654606,8.0,6.0,5.033222956847166,18.0,1.7777777777777777,3.359159212851328,9.0,0.4444444444444444,0.955813918560292,3.0,0.0,0.0,0.0,1.5555555555555556,4.399775527382962,14.0,1.1111111111111112,0.9938079899999066,2.0,2.2222222222222223,1.9876159799998128,4.0,0.2222222222222222,0.415739709641549,1.0,1.7777777777777777,0.415739709641549,1.0,3.2222222222222223,1.617802197617893,4.0,0.8564370204819205,0.3859420876963733,1.082,34.45921111111111,49.81194463945915,139.97342,191.88888888888889,46.68438816955227,123.0,202.66666666666663,60.25685760881402,148.0,223.33333333333331,48.80118395649388,127.0,344.29999999999995,22.230509565809676,82.89999999999998,1406.9444444444443,1274.285081579394,3082.5,12.82,15.269141429694075,42.258
110.0,2.0,420,100.0,300.0,,0.5,600.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,28.70261312145638,66.0,133.24028406228166,36.62782771632937,95.0,214.2,47.190677045365646,113.0,16.4,3.868849958320948,11.6,72.77327,72.39541537825555,166.94088,1934.598,2353.1626653540125,5620.6,83.76716132118807,60.12138130488718,172.0,937.02,1436.0526778638728,3713.3,117.0,59.56844802410081,141.0,106.2,47.69654075506944,117.0,88.4,36.2579646422686,82.0,83.8,37.44542695710653,86.0,106.0,54.62600113499065,135.0,5.1138,6.116361545886574,15.846,63.688,79.63186658618521,204.76,2.4240000000000004,0.937861397009174,2.34,-0.1093772999999999,1.1242437183374252,2.8611135,13.865049251048116,6.776176364554841,17.584753744759418,0.2464316,0.0472072679938163,0.1414329999999999,2.4240000000000004,0.937861397009174,2.34,11.162544,3.821447093908798,8.9572,8.74,14.10083224494214,36.35,2.5748,3.153473094859064,6.437,-7.59172401,2.6095063885729006,7.094607634999999,3.2633924932,0.5154317793761144,1.563562239,4.1116168962,0.6494033487306455,1.969964978,0.0,0.0,0.0,18.732,9.53366418933455,27.7925,2980.0,3309.6223349500165,9000.0,1880.0,1773.5839421916291,4300.0,0.6666000000000001,0.4103099316370492,0.9,28.0192,1.5611209306136409,4.018000000000001,23.558,7.307755879885426,20.06,243.1381604675672,297.198370584405,742.4209088076448,481.4218,171.44354993104872,532.771,4.3936,1.2470715456620765,3.52,77.2,28.96480623101076,68.0,928.876,1249.7166215842692,3214.2,15.536,4.005768840060545,11.54,4.8,2.7129319932501077,7.0,7.6,5.782732917920384,16.0,3.2,3.9698866482558417,9.0,0.8,1.1661903789690602,3.0,0.0,0.0,0.0,2.8,5.6,14.0,1.6,1.3564659966250538,3.0,2.0,1.6733200530681511,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,1.9595917942265424,4.0,0.5924164126497858,0.3641876170225074,0.939186636867457,14.015648,22.0717470834308,56.97417,185.4,39.04151636399386,91.0,206.6,58.32186553943555,148.0,217.8,36.79891302742514,96.0,350.24,17.91955356586765,49.0,1371.94,1311.3285135312203,3082.5,9.4404,11.800656280054936,30.298
143.0,2.29,420,100.0,300.0,5.57,0.05,800.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,19.647137196039527,48.0,159.32085218684497,31.902652540209505,96.0,208.9,49.82860624179649,122.0,17.990000000000002,10.717504373687,31.9,51.93993700000001,49.01622682330537,121.328,1239.914,1620.49042399639,4924.81,81.58362451031337,51.16465463701495,160.4,1286.8200000000002,2154.662855669072,5523.3,113.2,61.24018288672888,149.0,103.3,53.85359783709905,133.0,89.8,42.66333320311482,104.0,83.4,39.44667286350016,96.0,107.5,62.53998720818545,155.0,3.0338000000000003,2.753662245083808,7.421,73.737,102.35445217966829,262.76,2.585,1.080391132877348,2.55,1.0124327,0.5886578714870464,1.3164935,15.756199999999998,7.014224530195764,16.149,0.24121386,0.078043319003233,0.1764967999999999,2.585,1.080391132877348,2.55,10.6792878,3.669995886142158,8.406386000000001,5.937,9.164690993154109,29.78,0.0,0.0,0.0,-5.076660184,2.365626671390252,8.16979927,3.193498191,0.9392904359135316,2.398005524,4.0235555937,1.1834317923568558,3.0212976379999983,0.21106628,0.63319884,2.1106628,21.072,21.42460223668108,54.485,1990.0,2406.428889454247,8000.0,1780.0,2445.32206467778,8300.0,0.663,0.318702368990254,0.7140000000000001,28.21080000000001,1.758656805633208,4.777999999999999,25.985000000000003,18.525644523200807,51.1,139.74745471541317,206.0317299592259,664.4209088076448,300.2074,156.69352459447708,553.9,5.718999999999999,1.495041470996708,3.96,74.8,34.89641815430346,87.0,688.1800000000001,898.4461094578795,2686.2,19.84,9.756483997834463,31.07,2.3,1.9,7.0,5.3,1.7916472867168918,6.0,1.0,2.04939015319192,6.0,1.0,2.04939015319192,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.9797958971132712,2.0,2.4,1.9595917942265424,4.0,0.1,0.3,1.0,1.9,0.3,1.0,3.3,1.676305461424021,4.0,0.7570119821204742,0.3998740267159226,0.887186636867457,17.015948,26.58680006242075,79.97342,187.0,46.60686644690887,116.0,200.6,64.2544940062561,153.0,217.2,49.2560656163279,125.0,344.83,22.664026561932904,79.10000000000002,1353.5,1541.185095957004,4592.5,10.8312,15.165554027466325,38.898
83.3,2.44,420,1000.0,300.0,,0.3,800.0,24.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.714285714285715,32.799016909109966,75.0,153.7976193306676,10.645621387408688,24.0,202.7142857142857,37.40402684858672,80.0,16.535714285714285,3.9967142116738734,12.7,81.19456928571428,84.28667239432667,192.9814,971.4585714285714,1370.5048057134543,4924.81,64.62488048601273,38.3735336079913,168.1,250.9,328.21647690858805,1123.3,100.28571428571428,40.49590556274719,98.0,97.78571428571428,41.137710491589054,88.0,89.57142857142857,38.45166592288165,84.0,85.0,37.58609165255528,82.0,98.57142857142856,45.84245425634297,100.0,4.276428571428571,3.94359485593476,8.597999999999999,26.40857142857143,29.48016739076892,100.76,2.8685714285714288,0.7126495546586008,1.84,1.4099535857142858,0.5949068107749098,2.446182200000001,17.335714285714285,4.860841658874835,13.02,0.2525317142857143,0.0637912571321141,0.1764967999999999,2.834285714285714,0.7543181811194445,1.84,11.189932142857142,3.0257007702825254,6.8592,5.819214285714286,8.227157990274574,29.78,0.1040714285714285,0.3752348720250738,1.457,-4.687532836285714,1.7099948623412824,8.510296192,3.1720682687857145,0.6485652470386136,1.4083041719999998,3.996555583357143,0.8171410069970801,1.774352071,0.0,0.0,0.0,18.02142857142857,10.885096532902786,23.845,2642.8571428571427,2668.791670324201,8000.0,3121.428571428572,3101.192989670858,8300.0,0.6122142857142857,0.3634104681587295,0.796,31.24242857142857,12.474264849305236,51.09,25.977857142857143,13.476672002586772,47.78,108.72805210991729,172.8017873254956,664.4209088076448,262.64871428571433,135.4009807953655,621.15,5.972142857142857,1.1798679016339595,3.53,93.35714285714286,12.759350312933778,48.0,401.66428571428565,683.219811530189,2686.2,18.195,2.687884856164787,10.48,2.571428571428572,1.3477115902938006,6.0,13.285714285714286,10.333223611442929,24.0,0.4285714285714285,1.5452362609131385,6.0,3.857142857142857,4.688239737549126,10.0,0.0,0.0,0.0,4.0,6.324555320336759,14.0,2.071428571428572,0.7985957062499249,3.0,3.5,1.118033988749895,5.0,0.0714285714285714,0.2575393768188564,1.0,1.9285714285714288,0.2575393768188563,1.0,3.5,1.8027756377319943,4.0,0.7531000201670351,0.4490741821013864,1.021907187398836,6.166617142857143,13.731194189454394,53.97342,174.78571428571428,27.092905163604765,66.0,189.8571428571429,48.95749926920162,106.0,213.2142857142857,37.70596499121017,84.0,377.38571428571424,42.80001430478495,120.5,1117.6866112677849,1011.8312493783168,3162.5,3.911857142857143,4.356779312702428,14.898
0.0,3.98,400,25.0,300.0,47.9,0.02,,,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.82809416865966,33.0,163.92085218684497,35.53965952260042,89.0,199.6,35.43783289085268,80.0,19.62,12.899674414495893,34.5,36.000333999999995,29.826345441267588,76.90737,1266.514,1910.5260085808827,4924.81,80.28362451031337,53.02583622963272,166.9,1020.02,1509.061474427069,3893.3,113.0,58.869346862352735,137.0,106.4,55.36641581319852,133.0,97.8,54.4,136.0,82.44701006637476,36.68490614726288,84.2350503318738,109.0,64.52906321960671,160.0,2.5746,2.9998471027704063,7.714,82.46400000000001,111.14420931384596,285.36,2.548,1.1199714282069877,2.62,1.1604433,0.3910295760702251,0.9596435,15.352,7.466196889983547,17.02,0.22799856,0.0942616549059393,0.2063854,2.548,1.1199714282069877,2.62,10.39073266,4.025932005288055,9.2773867,6.598999999999999,11.729138246265151,29.78,0.0,0.0,0.0,-5.0922473916,2.874231136346179,8.995781817000001,3.2947558844,1.0214649173545167,2.6373070869999995,4.151132293000001,1.2869651511284916,3.322798714,0.0,0.0,0.0,23.720333334,24.942049311225936,64.00166666999999,2340.0,3114.867573429085,8000.0,3500.0,3708.908195143148,8300.0,0.7552000000000001,0.2529074138889566,0.653,28.4668,1.9353108690853773,5.0,29.172,23.23101495845586,58.27,145.81345471541317,267.1425594198423,677.67,313.9374,218.527722602511,644.0,5.804,1.396962418964805,3.53,73.2,36.66278767360715,91.0,648.4399999999999,1051.9650366813528,2686.2,21.77,12.346795535684551,35.11,2.8,2.1354156504062622,6.0,4.8,1.939071942966532,5.0,1.2,2.4,6.0,0.8,1.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.9797958971132712,2.0,2.4,1.9595917942265424,4.0,0.4,0.4898979485566356,1.0,1.6,0.4898979485566356,1.0,3.0,1.2649110640673518,3.0,0.8517119821204743,0.3180244924976511,0.811186636867457,30.815948,40.41754288374215,99.97342,189.8,49.680579706762686,123.0,195.8,56.35033274080997,123.0,219.6,50.5592721466597,127.0,349.54,20.467691613858165,64.69999999999999,1286.5,1275.7278314750367,3162.5,12.2332,16.457990769228182,42.258
20.4,2.86,400,25.0,300.0,80.5,0.03,400.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.27,3.05,400,25.0,300.0,79.5,0.04,400.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.74,2.9,400,25.0,300.0,80.1,0.05,400.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
