feature,f_score,p_value,mutual_information
num_d_valence_std,8.078705492608286,0.004795603464976951,0.3512908326826252
calcination_temperature,24.176754407218677,1.4712502289843394e-06,0.34152946190185807
boiling_point_std,1.4790073601762777,0.22491546122451064,0.3289261098441778
covalent_radius_pyykko_double_std,1.9489603574154342,0.163763031076054,0.323778854347474
melting_point_std,0.6217572620724251,0.43103691361326046,0.3219748080533189
B_electron_affinity,5.02015550065087,0.02580836471125316,0.3081362140095747
gs_est_bcc_latcnt_std,9.814650555771195,0.0019077494701119516,0.3007052849995415
lattice_constant_mean,0.19009156618036793,0.6631636785357009,0.2928224307652223
atomic_number_mean,0.03763459872112633,0.8463140604900309,0.2870411873139789
hhi_p_mean,3.1111780458038356,0.07880597617343522,0.27169009639154007
mendeleev_number_std,2.7102500404680514,0.10078488403215019,0.26989864889702053
num_d_unfilled_std,0.2657555981908225,0.6065846827002136,0.2681951130716156
lattice_constant_std,3.1755509342764614,0.07579065913528873,0.2664147694249972
atomic_radius_range,1.3325966250118417,0.24929092329972616,0.26538419599344953
covalent_radius_pyykko_double_mean,1.7458647535601686,0.1874353805114939,0.26398767224374486
B_electron_negativity,2.9624716196007745,0.08628041816157725,0.2635824908250357
num_unfilled_mean,0.006312100969034145,0.9367303157643769,0.26313125904929136
B_atomic_number,1.8551507061252217,0.17423891381174558,0.26130585308088916
gs_energy_std,0.6536635470242348,0.41946637292921707,0.2525253532695628
gs_est_bcc_latcnt_mean,6.1464890792572335,0.013733730444706216,0.2510400992981139
electron_negativity_std,1.248651909286344,0.26473181765120624,0.2500409713348617
num_s_unfilled_std,1.864471294633543,0.1731641924429569,0.2496302490352118
bulk_modulus_mean,11.72060549024057,0.0007068831485991125,0.24782778373749625
radiation_source_intensity,1.6545319718005942,0.1993656725687388,0.24769253394111157
lattice_constant_range,2.554447747561796,0.1110694522061663,0.2468343820615142
vdw_radius_uff_range,3.137359913426098,0.0775642092302106,0.2454058857675525
catalyst_amount,5.570285358650751,0.01892766930322237,0.24370298286254188
num_d_valence_mean,7.936019789878435,0.0051776440028463286,0.23980130920765186
specific_heat_std,1.4105809515903078,0.23592848191392532,0.23939762437562084
electron_affinity_mean,2.119348864011903,0.14652635296336303,0.2392666212941883
covalent_radius_pyykko_triple_std,4.369376433261874,0.03745808556546365,0.23899925484679407
